# Assembly name:  ARS-UCD1.2
# Organism name:  Bos taurus (cattle)
# Infraspecific name:  breed=Hereford
# Isolate:  L1 Dominette 01449 registration number 42190680
# Sex:  female
# Taxid:          9913
# BioSample:      SAMN03145444
# BioProject:     PRJNA391427
# Submitter:      USDA ARS
# Date:           2018-04-11
# Synonyms:       bosTau9	
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    NKLS02
# Assembly method: Falcon v. FEB-2016
# Expected final version: yes
# Excluded from RefSeq: contaminated
# Assembly anomaly: contaminated
# GenBank assembly accession: GCA_002263795.2
# RefSeq assembly accession: GCF_002263795.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002263805.2	GCF_002263805.1	Primary Assembly
## GCA_002263815.2	GCF_000001285.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
1	assembled-molecule	1	Chromosome	CM008168.2	=	NC_037328.1	Primary Assembly	158534110	chr1
Leftover_ScbfJmS_2135	unplaced-scaffold	na	na	NKLS02001134.1	=	NW_020191218.1	Primary Assembly	22560	chrUn_NW_020191218v1
Leftover_ScbfJmS_2136	unplaced-scaffold	na	na	NKLS02001135.1	=	NW_020191219.1	Primary Assembly	26158	chrUn_NW_020191219v1
Leftover_ScbfJmS_2137	unplaced-scaffold	na	na	NKLS02001136.1	=	NW_020191220.1	Primary Assembly	26626	chrUn_NW_020191220v1
Leftover_ScbfJmS_2138	unplaced-scaffold	na	na	NKLS02001137.1	=	NW_020191221.1	Primary Assembly	15414	chrUn_NW_020191221v1
Leftover_ScbfJmS_214	unplaced-scaffold	na	na	NKLS02001138.1	=	NW_020191222.1	Primary Assembly	14568	chrUn_NW_020191222v1
Leftover_ScbfJmS_2140	unplaced-scaffold	na	na	NKLS02001139.1	=	NW_020191223.1	Primary Assembly	207169	chrUn_NW_020191223v1
Leftover_ScbfJmS_2141	unplaced-scaffold	na	na	NKLS02001140.1	=	NW_020191224.1	Primary Assembly	3793	chrUn_NW_020191224v1
Leftover_ScbfJmS_2142	unplaced-scaffold	na	na	NKLS02001141.1	=	NW_020191225.1	Primary Assembly	37639	chrUn_NW_020191225v1
Leftover_ScbfJmS_2143	unplaced-scaffold	na	na	NKLS02001142.1	=	NW_020191226.1	Primary Assembly	25826	chrUn_NW_020191226v1
Leftover_ScbfJmS_2144	unplaced-scaffold	na	na	NKLS02001143.1	=	NW_020191227.1	Primary Assembly	28816	chrUn_NW_020191227v1
Leftover_ScbfJmS_2145	unplaced-scaffold	na	na	NKLS02001144.1	=	NW_020191228.1	Primary Assembly	11168	chrUn_NW_020191228v1
Leftover_ScbfJmS_2146	unplaced-scaffold	na	na	NKLS02001145.1	=	NW_020191229.1	Primary Assembly	4805	chrUn_NW_020191229v1
Leftover_ScbfJmS_2148	unplaced-scaffold	na	na	NKLS02001146.1	=	NW_020191230.1	Primary Assembly	24112	chrUn_NW_020191230v1
Leftover_ScbfJmS_2150	unplaced-scaffold	na	na	NKLS02001147.1	=	NW_020191231.1	Primary Assembly	11927	chrUn_NW_020191231v1
Leftover_ScbfJmS_2151	unplaced-scaffold	na	na	NKLS02001148.1	=	NW_020191232.1	Primary Assembly	33577	chrUn_NW_020191232v1
Leftover_ScbfJmS_2152	unplaced-scaffold	na	na	NKLS02001149.1	=	NW_020191233.1	Primary Assembly	7924	chrUn_NW_020191233v1
Leftover_ScbfJmS_2153	unplaced-scaffold	na	na	NKLS02001150.1	=	NW_020191234.1	Primary Assembly	16606	chrUn_NW_020191234v1
Leftover_ScbfJmS_2154	unplaced-scaffold	na	na	NKLS02001151.1	=	NW_020191235.1	Primary Assembly	6345	chrUn_NW_020191235v1
Leftover_ScbfJmS_2155_428_1103	unplaced-scaffold	na	na	NKLS02001152.1	=	NW_020191236.1	Primary Assembly	40368	chrUn_NW_020191236v1
Leftover_ScbfJmS_2156	unplaced-scaffold	na	na	NKLS02001153.1	=	NW_020191237.1	Primary Assembly	1039	chrUn_NW_020191237v1
Leftover_ScbfJmS_2157	unplaced-scaffold	na	na	NKLS02001154.1	=	NW_020191238.1	Primary Assembly	42110	chrUn_NW_020191238v1
Leftover_ScbfJmS_2158	unplaced-scaffold	na	na	NKLS02001155.1	=	NW_020191239.1	Primary Assembly	98134	chrUn_NW_020191239v1
Leftover_ScbfJmS_2159	unplaced-scaffold	na	na	NKLS02001156.1	=	NW_020191240.1	Primary Assembly	30754	chrUn_NW_020191240v1
Leftover_ScbfJmS_216	unplaced-scaffold	na	na	NKLS02001157.1	=	NW_020191241.1	Primary Assembly	38842	chrUn_NW_020191241v1
Leftover_ScbfJmS_2160	unplaced-scaffold	na	na	NKLS02001158.1	=	NW_020191242.1	Primary Assembly	12188	chrUn_NW_020191242v1
Leftover_ScbfJmS_2161	unplaced-scaffold	na	na	NKLS02001159.1	=	NW_020191243.1	Primary Assembly	28587	chrUn_NW_020191243v1
Leftover_ScbfJmS_2162	unplaced-scaffold	na	na	NKLS02001160.1	=	NW_020191244.1	Primary Assembly	20187	chrUn_NW_020191244v1
Leftover_ScbfJmS_2164	unplaced-scaffold	na	na	NKLS02001161.1	=	NW_020191245.1	Primary Assembly	11582	chrUn_NW_020191245v1
Leftover_ScbfJmS_2165	unplaced-scaffold	na	na	NKLS02001162.1	=	NW_020191246.1	Primary Assembly	65561	chrUn_NW_020191246v1
Leftover_ScbfJmS_2166	unplaced-scaffold	na	na	NKLS02001163.1	=	NW_020191247.1	Primary Assembly	49068	chrUn_NW_020191247v1
Leftover_ScbfJmS_2167	unplaced-scaffold	na	na	NKLS02001164.1	=	NW_020191248.1	Primary Assembly	39436	chrUn_NW_020191248v1
Leftover_ScbfJmS_2168	unplaced-scaffold	na	na	NKLS02001165.1	=	NW_020191249.1	Primary Assembly	33126	chrUn_NW_020191249v1
Leftover_ScbfJmS_2169	unplaced-scaffold	na	na	NKLS02001166.1	=	NW_020191250.1	Primary Assembly	27440	chrUn_NW_020191250v1
Leftover_ScbfJmS_2170	unplaced-scaffold	na	na	NKLS02001167.1	=	NW_020191251.1	Primary Assembly	32343	chrUn_NW_020191251v1
Leftover_ScbfJmS_2172	unplaced-scaffold	na	na	NKLS02001168.1	=	NW_020191252.1	Primary Assembly	9084	chrUn_NW_020191252v1
Leftover_ScbfJmS_2173	unplaced-scaffold	na	na	NKLS02001169.1	=	NW_020191253.1	Primary Assembly	12363	chrUn_NW_020191253v1
Leftover_ScbfJmS_2174	unplaced-scaffold	na	na	NKLS02001170.1	=	NW_020191254.1	Primary Assembly	7965	chrUn_NW_020191254v1
Leftover_ScbfJmS_2175	unplaced-scaffold	na	na	NKLS02001171.1	=	NW_020191255.1	Primary Assembly	20851	chrUn_NW_020191255v1
Leftover_ScbfJmS_2176	unplaced-scaffold	na	na	NKLS02001172.1	=	NW_020191256.1	Primary Assembly	52867	chrUn_NW_020191256v1
Leftover_ScbfJmS_2177	unplaced-scaffold	na	na	NKLS02001173.1	=	NW_020191257.1	Primary Assembly	8418	chrUn_NW_020191257v1
Leftover_ScbfJmS_2178	unplaced-scaffold	na	na	NKLS02001174.1	=	NW_020191258.1	Primary Assembly	24983	chrUn_NW_020191258v1
Leftover_ScbfJmS_2179	unplaced-scaffold	na	na	NKLS02001175.1	=	NW_020191259.1	Primary Assembly	50947	chrUn_NW_020191259v1
Leftover_ScbfJmS_218	unplaced-scaffold	na	na	NKLS02001176.1	=	NW_020191260.1	Primary Assembly	25645	chrUn_NW_020191260v1
Leftover_ScbfJmS_2180	unplaced-scaffold	na	na	NKLS02001177.1	=	NW_020191261.1	Primary Assembly	300538	chrUn_NW_020191261v1
Leftover_ScbfJmS_2182_1813_891_820	unplaced-scaffold	na	na	NKLS02001178.1	=	NW_020191262.1	Primary Assembly	157671	chrUn_NW_020191262v1
Leftover_ScbfJmS_2183	unplaced-scaffold	na	na	NKLS02001179.1	=	NW_020191263.1	Primary Assembly	31320	chrUn_NW_020191263v1
Leftover_ScbfJmS_2184	unplaced-scaffold	na	na	NKLS02001180.1	=	NW_020191264.1	Primary Assembly	36930	chrUn_NW_020191264v1
Leftover_ScbfJmS_2185	unplaced-scaffold	na	na	NKLS02001181.1	=	NW_020191265.1	Primary Assembly	43429	chrUn_NW_020191265v1
Leftover_ScbfJmS_2186	unplaced-scaffold	na	na	NKLS02001182.1	=	NW_020191266.1	Primary Assembly	9251	chrUn_NW_020191266v1
Leftover_ScbfJmS_2187	unplaced-scaffold	na	na	NKLS02001183.1	=	NW_020191267.1	Primary Assembly	35358	chrUn_NW_020191267v1
Leftover_ScbfJmS_2188	unplaced-scaffold	na	na	NKLS02001184.1	=	NW_020191268.1	Primary Assembly	34614	chrUn_NW_020191268v1
Leftover_ScbfJmS_2189	unplaced-scaffold	na	na	NKLS02001185.1	=	NW_020191269.1	Primary Assembly	33114	chrUn_NW_020191269v1
Leftover_ScbfJmS_219	unplaced-scaffold	na	na	NKLS02001186.1	=	NW_020191270.1	Primary Assembly	16294	chrUn_NW_020191270v1
Leftover_ScbfJmS_2190	unplaced-scaffold	na	na	NKLS02001187.1	=	NW_020191271.1	Primary Assembly	13041	chrUn_NW_020191271v1
Leftover_ScbfJmS_2192	unplaced-scaffold	na	na	NKLS02001188.1	=	NW_020191272.1	Primary Assembly	14814	chrUn_NW_020191272v1
Leftover_ScbfJmS_2193	unplaced-scaffold	na	na	NKLS02001189.1	=	NW_020191273.1	Primary Assembly	18255	chrUn_NW_020191273v1
Leftover_ScbfJmS_2194	unplaced-scaffold	na	na	NKLS02001190.1	=	NW_020191274.1	Primary Assembly	58763	chrUn_NW_020191274v1
Leftover_ScbfJmS_2195	unplaced-scaffold	na	na	NKLS02001191.1	=	NW_020191275.1	Primary Assembly	20708	chrUn_NW_020191275v1
Leftover_ScbfJmS_2196	unplaced-scaffold	na	na	NKLS02001192.1	=	NW_020191276.1	Primary Assembly	34802	chrUn_NW_020191276v1
Leftover_ScbfJmS_2197	unplaced-scaffold	na	na	NKLS02001193.1	=	NW_020191277.1	Primary Assembly	17531	chrUn_NW_020191277v1
Leftover_ScbfJmS_2198	unplaced-scaffold	na	na	NKLS02001194.1	=	NW_020191278.1	Primary Assembly	54204	chrUn_NW_020191278v1
Leftover_ScbfJmS_2199	unplaced-scaffold	na	na	NKLS02001195.1	=	NW_020191279.1	Primary Assembly	2031	chrUn_NW_020191279v1
Leftover_ScbfJmS_22	unplaced-scaffold	na	na	NKLS02001196.1	=	NW_020191280.1	Primary Assembly	27485	chrUn_NW_020191280v1
Leftover_ScbfJmS_220	unplaced-scaffold	na	na	NKLS02001197.1	=	NW_020191281.1	Primary Assembly	28169	chrUn_NW_020191281v1
Leftover_ScbfJmS_2200	unplaced-scaffold	na	na	NKLS02001198.1	=	NW_020191282.1	Primary Assembly	21549	chrUn_NW_020191282v1
Leftover_ScbfJmS_2201	unplaced-scaffold	na	na	NKLS02001199.1	=	NW_020191283.1	Primary Assembly	10808	chrUn_NW_020191283v1
Leftover_ScbfJmS_2202_239	unplaced-scaffold	na	na	NKLS02001200.1	=	NW_020191284.1	Primary Assembly	17169	chrUn_NW_020191284v1
Leftover_ScbfJmS_2203	unplaced-scaffold	na	na	NKLS02001201.1	=	NW_020191285.1	Primary Assembly	126329	chrUn_NW_020191285v1
Leftover_ScbfJmS_2204	unplaced-scaffold	na	na	NKLS02001202.1	=	NW_020191286.1	Primary Assembly	5118	chrUn_NW_020191286v1
Leftover_ScbfJmS_2205	unplaced-scaffold	na	na	NKLS02001203.1	=	NW_020191287.1	Primary Assembly	33800	chrUn_NW_020191287v1
Leftover_ScbfJmS_2206	unplaced-scaffold	na	na	NKLS02001204.1	=	NW_020191288.1	Primary Assembly	28214	chrUn_NW_020191288v1
Leftover_ScbfJmS_2207	unplaced-scaffold	na	na	NKLS02001205.1	=	NW_020191289.1	Primary Assembly	33440	chrUn_NW_020191289v1
Leftover_ScbfJmS_2208	unplaced-scaffold	na	na	NKLS02001206.1	=	NW_020191290.1	Primary Assembly	9441	chrUn_NW_020191290v1
Leftover_ScbfJmS_2209	unplaced-scaffold	na	na	NKLS02001207.1	=	NW_020191291.1	Primary Assembly	18792	chrUn_NW_020191291v1
Leftover_ScbfJmS_2210	unplaced-scaffold	na	na	NKLS02001208.1	=	NW_020191292.1	Primary Assembly	23762	chrUn_NW_020191292v1
Leftover_ScbfJmS_2212	unplaced-scaffold	na	na	NKLS02001209.1	=	NW_020191293.1	Primary Assembly	21480	chrUn_NW_020191293v1
Leftover_ScbfJmS_2213	unplaced-scaffold	na	na	NKLS02001210.1	=	NW_020191294.1	Primary Assembly	41548	chrUn_NW_020191294v1
Leftover_ScbfJmS_2214	unplaced-scaffold	na	na	NKLS02001211.1	=	NW_020191295.1	Primary Assembly	17031	chrUn_NW_020191295v1
Leftover_ScbfJmS_2215	unplaced-scaffold	na	na	NKLS02001212.1	=	NW_020191296.1	Primary Assembly	23394	chrUn_NW_020191296v1
Leftover_ScbfJmS_2216	unplaced-scaffold	na	na	NKLS02001213.1	=	NW_020191297.1	Primary Assembly	14252	chrUn_NW_020191297v1
Leftover_ScbfJmS_2217	unplaced-scaffold	na	na	NKLS02001214.1	=	NW_020191298.1	Primary Assembly	254491	chrUn_NW_020191298v1
Leftover_ScbfJmS_2218	unplaced-scaffold	na	na	NKLS02001215.1	=	NW_020191299.1	Primary Assembly	5711	chrUn_NW_020191299v1
Leftover_ScbfJmS_2219	unplaced-scaffold	na	na	NKLS02001216.1	=	NW_020191300.1	Primary Assembly	41767	chrUn_NW_020191300v1
Leftover_ScbfJmS_222	unplaced-scaffold	na	na	NKLS02001217.1	=	NW_020191301.1	Primary Assembly	16709	chrUn_NW_020191301v1
Leftover_ScbfJmS_2220	unplaced-scaffold	na	na	NKLS02001218.1	=	NW_020191302.1	Primary Assembly	21556	chrUn_NW_020191302v1
Leftover_ScbfJmS_2222	unplaced-scaffold	na	na	NKLS02001219.1	=	NW_020191303.1	Primary Assembly	13670	chrUn_NW_020191303v1
Leftover_ScbfJmS_2223	unplaced-scaffold	na	na	NKLS02001220.1	=	NW_020191304.1	Primary Assembly	52400	chrUn_NW_020191304v1
Leftover_ScbfJmS_2224	unplaced-scaffold	na	na	NKLS02001221.1	=	NW_020191305.1	Primary Assembly	43073	chrUn_NW_020191305v1
Leftover_ScbfJmS_2225	unplaced-scaffold	na	na	NKLS02001222.1	=	NW_020191306.1	Primary Assembly	26190	chrUn_NW_020191306v1
Leftover_ScbfJmS_2226	unplaced-scaffold	na	na	NKLS02001223.1	=	NW_020191307.1	Primary Assembly	8191	chrUn_NW_020191307v1
Leftover_ScbfJmS_2227	unplaced-scaffold	na	na	NKLS02001224.1	=	NW_020191308.1	Primary Assembly	39316	chrUn_NW_020191308v1
Leftover_ScbfJmS_2228	unplaced-scaffold	na	na	NKLS02001225.1	=	NW_020191309.1	Primary Assembly	24793	chrUn_NW_020191309v1
Leftover_ScbfJmS_2229	unplaced-scaffold	na	na	NKLS02001226.1	=	NW_020191310.1	Primary Assembly	9116	chrUn_NW_020191310v1
Leftover_ScbfJmS_223	unplaced-scaffold	na	na	NKLS02001227.1	=	NW_020191311.1	Primary Assembly	29341	chrUn_NW_020191311v1
Leftover_ScbfJmS_2230	unplaced-scaffold	na	na	NKLS02001228.1	=	NW_020191312.1	Primary Assembly	25233	chrUn_NW_020191312v1
Leftover_ScbfJmS_2231	unplaced-scaffold	na	na	NKLS02001229.1	=	NW_020191313.1	Primary Assembly	24505	chrUn_NW_020191313v1
Leftover_ScbfJmS_2233	unplaced-scaffold	na	na	NKLS02001230.1	=	NW_020191314.1	Primary Assembly	44895	chrUn_NW_020191314v1
Leftover_ScbfJmS_2234_990	unplaced-scaffold	na	na	NKLS02001231.1	=	NW_020191315.1	Primary Assembly	35052	chrUn_NW_020191315v1
Leftover_ScbfJmS_2235	unplaced-scaffold	na	na	NKLS02001232.1	=	NW_020191316.1	Primary Assembly	1531	chrUn_NW_020191316v1
Leftover_ScbfJmS_2236	unplaced-scaffold	na	na	NKLS02001233.1	=	NW_020191317.1	Primary Assembly	20378	chrUn_NW_020191317v1
Leftover_ScbfJmS_2237	unplaced-scaffold	na	na	NKLS02001234.1	=	NW_020191318.1	Primary Assembly	8607	chrUn_NW_020191318v1
Leftover_ScbfJmS_2238	unplaced-scaffold	na	na	NKLS02001235.1	=	NW_020191319.1	Primary Assembly	34054	chrUn_NW_020191319v1
Leftover_ScbfJmS_2239	unplaced-scaffold	na	na	NKLS02001236.1	=	NW_020191320.1	Primary Assembly	18959	chrUn_NW_020191320v1
Leftover_ScbfJmS_224	unplaced-scaffold	na	na	NKLS02001237.1	=	NW_020191321.1	Primary Assembly	31294	chrUn_NW_020191321v1
Leftover_ScbfJmS_2242_383	unplaced-scaffold	na	na	NKLS02001238.1	=	NW_020191322.1	Primary Assembly	18326	chrUn_NW_020191322v1
Leftover_ScbfJmS_2244	unplaced-scaffold	na	na	NKLS02001239.1	=	NW_020191323.1	Primary Assembly	20102	chrUn_NW_020191323v1
Leftover_ScbfJmS_2245	unplaced-scaffold	na	na	NKLS02001240.1	=	NW_020191324.1	Primary Assembly	35175	chrUn_NW_020191324v1
Leftover_ScbfJmS_2246	unplaced-scaffold	na	na	NKLS02001241.1	=	NW_020191325.1	Primary Assembly	81446	chrUn_NW_020191325v1
Leftover_ScbfJmS_2247_2147_1698	unplaced-scaffold	na	na	NKLS02001242.1	=	NW_020191326.1	Primary Assembly	54626	chrUn_NW_020191326v1
Leftover_ScbfJmS_2248	unplaced-scaffold	na	na	NKLS02001243.1	=	NW_020191327.1	Primary Assembly	44593	chrUn_NW_020191327v1
Leftover_ScbfJmS_2249	unplaced-scaffold	na	na	NKLS02001244.1	=	NW_020191328.1	Primary Assembly	23195	chrUn_NW_020191328v1
Leftover_ScbfJmS_225	unplaced-scaffold	na	na	NKLS02001245.1	=	NW_020191329.1	Primary Assembly	30897	chrUn_NW_020191329v1
Leftover_ScbfJmS_2251	unplaced-scaffold	na	na	NKLS02001246.1	=	NW_020191330.1	Primary Assembly	15754	chrUn_NW_020191330v1
Leftover_ScbfJmS_2253	unplaced-scaffold	na	na	NKLS02001247.1	=	NW_020191331.1	Primary Assembly	78343	chrUn_NW_020191331v1
Leftover_ScbfJmS_2254	unplaced-scaffold	na	na	NKLS02001248.1	=	NW_020191332.1	Primary Assembly	57511	chrUn_NW_020191332v1
Leftover_ScbfJmS_2255	unplaced-scaffold	na	na	NKLS02001249.1	=	NW_020191333.1	Primary Assembly	7722	chrUn_NW_020191333v1
Leftover_ScbfJmS_2256	unplaced-scaffold	na	na	NKLS02001250.1	=	NW_020191334.1	Primary Assembly	17146	chrUn_NW_020191334v1
Leftover_ScbfJmS_2258	unplaced-scaffold	na	na	NKLS02001251.1	=	NW_020191335.1	Primary Assembly	21332	chrUn_NW_020191335v1
Leftover_ScbfJmS_2259	unplaced-scaffold	na	na	NKLS02001252.1	=	NW_020191336.1	Primary Assembly	22258	chrUn_NW_020191336v1
Leftover_ScbfJmS_226	unplaced-scaffold	na	na	NKLS02001253.1	=	NW_020191337.1	Primary Assembly	11163	chrUn_NW_020191337v1
Leftover_ScbfJmS_2261	unplaced-scaffold	na	na	NKLS02001254.1	=	NW_020191338.1	Primary Assembly	17543	chrUn_NW_020191338v1
Leftover_ScbfJmS_2262	unplaced-scaffold	na	na	NKLS02001255.1	=	NW_020191339.1	Primary Assembly	6621	chrUn_NW_020191339v1
Leftover_ScbfJmS_2263	unplaced-scaffold	na	na	NKLS02001256.1	=	NW_020191340.1	Primary Assembly	12833	chrUn_NW_020191340v1
Leftover_ScbfJmS_2264	unplaced-scaffold	na	na	NKLS02001257.1	=	NW_020191341.1	Primary Assembly	38493	chrUn_NW_020191341v1
Leftover_ScbfJmS_2265	unplaced-scaffold	na	na	NKLS02001258.1	=	NW_020191342.1	Primary Assembly	18024	chrUn_NW_020191342v1
Leftover_ScbfJmS_2266	unplaced-scaffold	na	na	NKLS02001259.1	=	NW_020191343.1	Primary Assembly	46065	chrUn_NW_020191343v1
Leftover_ScbfJmS_2267	unplaced-scaffold	na	na	NKLS02001260.1	=	NW_020191344.1	Primary Assembly	10340	chrUn_NW_020191344v1
Leftover_ScbfJmS_2268	unplaced-scaffold	na	na	NKLS02001261.1	=	NW_020191345.1	Primary Assembly	94796	chrUn_NW_020191345v1
Leftover_ScbfJmS_2269	unplaced-scaffold	na	na	NKLS02001262.1	=	NW_020191346.1	Primary Assembly	108633	chrUn_NW_020191346v1
Leftover_ScbfJmS_227	unplaced-scaffold	na	na	NKLS02001263.1	=	NW_020191347.1	Primary Assembly	18630	chrUn_NW_020191347v1
Leftover_ScbfJmS_2271	unplaced-scaffold	na	na	NKLS02001264.1	=	NW_020191348.1	Primary Assembly	33812	chrUn_NW_020191348v1
Leftover_ScbfJmS_2272	unplaced-scaffold	na	na	NKLS02001265.1	=	NW_020191349.1	Primary Assembly	43571	chrUn_NW_020191349v1
Leftover_ScbfJmS_2273	unplaced-scaffold	na	na	NKLS02001266.1	=	NW_020191350.1	Primary Assembly	6184	chrUn_NW_020191350v1
Leftover_ScbfJmS_2276	unplaced-scaffold	na	na	NKLS02001267.1	=	NW_020191351.1	Primary Assembly	1340	chrUn_NW_020191351v1
Leftover_ScbfJmS_2277	unplaced-scaffold	na	na	NKLS02001268.1	=	NW_020191352.1	Primary Assembly	21066	chrUn_NW_020191352v1
Leftover_ScbfJmS_2278	unplaced-scaffold	na	na	NKLS02001269.1	=	NW_020191353.1	Primary Assembly	7753	chrUn_NW_020191353v1
Leftover_ScbfJmS_228	unplaced-scaffold	na	na	NKLS02001270.1	=	NW_020191354.1	Primary Assembly	13845	chrUn_NW_020191354v1
Leftover_ScbfJmS_2280	unplaced-scaffold	na	na	NKLS02001271.1	=	NW_020191355.1	Primary Assembly	14498	chrUn_NW_020191355v1
Leftover_ScbfJmS_2281	unplaced-scaffold	na	na	NKLS02001272.1	=	NW_020191356.1	Primary Assembly	94973	chrUn_NW_020191356v1
Leftover_ScbfJmS_2282	unplaced-scaffold	na	na	NKLS02001273.1	=	NW_020191357.1	Primary Assembly	5773	chrUn_NW_020191357v1
Leftover_ScbfJmS_2283	unplaced-scaffold	na	na	NKLS02001274.1	=	NW_020191358.1	Primary Assembly	8681	chrUn_NW_020191358v1
Leftover_ScbfJmS_2284	unplaced-scaffold	na	na	NKLS02001275.1	=	NW_020191359.1	Primary Assembly	16436	chrUn_NW_020191359v1
Leftover_ScbfJmS_2285	unplaced-scaffold	na	na	NKLS02001276.1	=	NW_020191360.1	Primary Assembly	35972	chrUn_NW_020191360v1
Leftover_ScbfJmS_2286	unplaced-scaffold	na	na	NKLS02001277.1	=	NW_020191361.1	Primary Assembly	247120	chrUn_NW_020191361v1
Leftover_ScbfJmS_2287	unplaced-scaffold	na	na	NKLS02001278.1	=	NW_020191362.1	Primary Assembly	9278	chrUn_NW_020191362v1
Leftover_ScbfJmS_2289	unplaced-scaffold	na	na	NKLS02001279.1	=	NW_020191363.1	Primary Assembly	98378	chrUn_NW_020191363v1
Leftover_ScbfJmS_229	unplaced-scaffold	na	na	NKLS02001280.1	=	NW_020191364.1	Primary Assembly	7191	chrUn_NW_020191364v1
Leftover_ScbfJmS_2291	unplaced-scaffold	na	na	NKLS02001281.1	=	NW_020191365.1	Primary Assembly	27951	chrUn_NW_020191365v1
Leftover_ScbfJmS_2292	unplaced-scaffold	na	na	NKLS02001282.1	=	NW_020191366.1	Primary Assembly	12407	chrUn_NW_020191366v1
Leftover_ScbfJmS_2293	unplaced-scaffold	na	na	NKLS02001283.1	=	NW_020191367.1	Primary Assembly	5858	chrUn_NW_020191367v1
Leftover_ScbfJmS_2294	unplaced-scaffold	na	na	NKLS02001284.1	=	NW_020191368.1	Primary Assembly	15493	chrUn_NW_020191368v1
Leftover_ScbfJmS_2295	unplaced-scaffold	na	na	NKLS02001285.1	=	NW_020191369.1	Primary Assembly	26821	chrUn_NW_020191369v1
Leftover_ScbfJmS_2296	unplaced-scaffold	na	na	NKLS02001286.1	=	NW_020191370.1	Primary Assembly	74955	chrUn_NW_020191370v1
Leftover_ScbfJmS_2297	unplaced-scaffold	na	na	NKLS02001287.1	=	NW_020191371.1	Primary Assembly	33766	chrUn_NW_020191371v1
Leftover_ScbfJmS_2298	unplaced-scaffold	na	na	NKLS02001288.1	=	NW_020191372.1	Primary Assembly	13340	chrUn_NW_020191372v1
Leftover_ScbfJmS_2299_ScbfJmS_836	unplaced-scaffold	na	na	NKLS02001289.1	=	NW_020191373.1	Primary Assembly	118284	chrUn_NW_020191373v1
Leftover_ScbfJmS_23	unplaced-scaffold	na	na	NKLS02001290.1	=	NW_020191374.1	Primary Assembly	6077	chrUn_NW_020191374v1
Leftover_ScbfJmS_230	unplaced-scaffold	na	na	NKLS02001291.1	=	NW_020191375.1	Primary Assembly	44439	chrUn_NW_020191375v1
Leftover_ScbfJmS_2300	unplaced-scaffold	na	na	NKLS02001292.1	=	NW_020191376.1	Primary Assembly	63261	chrUn_NW_020191376v1
Leftover_ScbfJmS_2301	unplaced-scaffold	na	na	NKLS02001293.1	=	NW_020191377.1	Primary Assembly	27397	chrUn_NW_020191377v1
Leftover_ScbfJmS_2302	unplaced-scaffold	na	na	NKLS02001294.1	=	NW_020191378.1	Primary Assembly	18461	chrUn_NW_020191378v1
Leftover_ScbfJmS_2303	unplaced-scaffold	na	na	NKLS02001295.1	=	NW_020191379.1	Primary Assembly	25913	chrUn_NW_020191379v1
Leftover_ScbfJmS_2304	unplaced-scaffold	na	na	NKLS02001296.1	=	NW_020191380.1	Primary Assembly	14754	chrUn_NW_020191380v1
Leftover_ScbfJmS_2305	unplaced-scaffold	na	na	NKLS02001297.1	=	NW_020191381.1	Primary Assembly	28648	chrUn_NW_020191381v1
Leftover_ScbfJmS_2306	unplaced-scaffold	na	na	NKLS02001298.1	=	NW_020191382.1	Primary Assembly	21374	chrUn_NW_020191382v1
Leftover_ScbfJmS_2307	unplaced-scaffold	na	na	NKLS02001299.1	=	NW_020191383.1	Primary Assembly	17208	chrUn_NW_020191383v1
Leftover_ScbfJmS_2308	unplaced-scaffold	na	na	NKLS02001300.1	=	NW_020191384.1	Primary Assembly	11823	chrUn_NW_020191384v1
Leftover_ScbfJmS_2309	unplaced-scaffold	na	na	NKLS02001301.1	=	NW_020191385.1	Primary Assembly	4395	chrUn_NW_020191385v1
Leftover_ScbfJmS_231	unplaced-scaffold	na	na	NKLS02001302.1	=	NW_020191386.1	Primary Assembly	24874	chrUn_NW_020191386v1
Leftover_ScbfJmS_2310	unplaced-scaffold	na	na	NKLS02001303.1	=	NW_020191387.1	Primary Assembly	44382	chrUn_NW_020191387v1
Leftover_ScbfJmS_2311	unplaced-scaffold	na	na	NKLS02001304.1	=	NW_020191388.1	Primary Assembly	27004	chrUn_NW_020191388v1
Leftover_ScbfJmS_2312	unplaced-scaffold	na	na	NKLS02001305.1	=	NW_020191389.1	Primary Assembly	20771	chrUn_NW_020191389v1
Leftover_ScbfJmS_2313	unplaced-scaffold	na	na	NKLS02001306.1	=	NW_020191390.1	Primary Assembly	21794	chrUn_NW_020191390v1
Leftover_ScbfJmS_2314	unplaced-scaffold	na	na	NKLS02001307.1	=	NW_020191391.1	Primary Assembly	13348	chrUn_NW_020191391v1
